"Model","File","Line","Page","ID","Severity","Category","Evidence","Why","Fix"
"GPT511","GPt 511.md","381","/products/education","EDU-01","High","Trust/credibility","Static â€œStarting from â‚¹â€¦â€ is used in product cards.","Pricing credibility risk for institutional buyers.","Remove placeholder pricing and replace with â€œQuote-basedâ€ messaging."
"GPT511","GPt 511.md","382","/products/education","EDU-02","Medium","Merchandising/discovery","Education subcategories exist conceptually (classroom, library, hostel, auditorium) but arenâ€™t presented as quick navigation.","Hard to narrow quickly.","Add subcategory tabs/filters at the top of the grid."
"GPT511","GPt 511.md","383","/products/education","EDU-03","Medium","Decision support","No procurement-focused doc CTA (warranty, compliance, installation notes).","Forces calls/emails.","Add â€œRequest technical sheetsâ€ CTA linking to `/downloads?category=education`."
"GPT511","GPt 511.md","384","/products/education","EDU-04","Medium","Accessibility/contrast","Alt text can degrade to generic fallbacks if metadata is missing.","Accessibility and SEO degradation.","Require `alt_text` in product data and run an alt-text completeness audit."
"GPT511","GPt 511.md","385","/products/education","EDU-05","Medium","Mobile responsiveness","Left-side filter drawer may conflict with iOS back-swipe.","Interaction friction.","Use a bottom sheet filter panel on mobile instead of left drawer."
"GPT511","GPt 511.md","391","/products/seating/fluid-x","PFLUID-01","Medium","Decision support","Product page specs omit lead time and price guidance; funnel is quote-only.","Users canâ€™t self-qualify quickly.","Add lead-time band + budget band fields (even if range-based) from metadata."
"GPT511","GPt 511.md","392","/products/seating/fluid-x","PFLUID-02","Medium","Interaction UX","â€œCopy linkâ€ uses clipboard with no confirmation feedback.","Users donâ€™t know it worked.","Add toast (â€œLink copiedâ€) and aria-live announcement."
"GPT511","GPt 511.md","393","/products/seating/fluid-x","PFLUID-03","Medium","Trust/credibility","Share channels prioritize Twitter/Facebook; B2B share is often LinkedIn/email.","Lower share utility.","Replace Twitter with LinkedIn and add â€œEmail to colleagueâ€ share."
"GPT511","GPt 511.md","394","/products/seating/fluid-x","PFLUID-04","Low","Accessibility/contrast","Series label uses `text-neutral-400` at ~10px on white.","Contrast fails for meaningful labels.","Raise to neutral-600 and/or increase font size."
"GPT511","GPt 511.md","395","/products/seating/fluid-x","PFLUID-05","Medium","Mobile responsiveness","No sticky CTA for long image galleries on mobile.","Users lose the action after scrolling.","Add mobile sticky CTA bar (Request quote / Add to quote) after a scroll threshold."
"GPT511","GPt 511.md","401","/products/seating/classy-executive","PCLASS-01","High","Trust/credibility","Seeded flagship image points to the Fluid X image set (`/images/catalog/oando-seating--fluid-x/image-3.webp`) for â€œClassy Executive.â€","Wrong imagery is a major credibility and conversion killer.","Ensure each SKU has its own dedicated image set; add a data QA check preventing cross-SKU image reuse."
"GPT511","GPt 511.md","402","/products/seating/classy-executive","PCLASS-02","High","IA/navigation","Users can add to quote cart but have no persistent way to open `/quote-cart`.","Adds feel â€œlostâ€ after adding.","Add quote cart dock/header icon and link from product page after add (â€œView quote cartâ€)."
"GPT511","GPt 511.md","403","/products/seating/classy-executive","PCLASS-03","Medium","Decision support","Warranty/certification text can degrade to generic fallback if metadata missing.","Weakens executive buyer confidence.","Enforce metadata completeness (warrantyYears, certification) for seating SKUs."
"GPT511","GPt 511.md","404","/products/seating/classy-executive","PCLASS-04","Medium","IA/navigation","Breadcrumb uses series name rather than clear category label.","Users can lose category context.","Display breadcrumb as Products â†’ Seating â†’ Series â†’ Product."
"GPT511","GPt 511.md","405","/products/seating/classy-executive","PCLASS-05","Low","Interaction UX","Four stacked CTAs can overwhelm (quote cart, compare, request quote, consultation).","Choice overload.","Keep 1 primary + 1 secondary; move others under â€œMore actions.â€"
"GPT511","GPt 511.md","411","/products/soft-seating/cocoon-pod","PCOCOON-01","High","Merchandising/discovery","Seed data uses Solace imagery (`/images/products/softseating-solace-1.webp`) inside Cocoon Pod gallery images.","Wrong imagery damages trust and decision-making.","Correct gallery images to Cocoon Pod assets; add SKU-to-asset validation in seeding pipeline."
"GPT511","GPt 511.md","412","/products/soft-seating/cocoon-pod","PCOCOON-02","Medium","Interaction UX","3D toggle checks model availability via `HEAD` request, which can fail under CORS/CDN rules.","False â€œunavailableâ€ states reduce perceived quality.","Store model availability in metadata and/or fallback to GET-range check with robust error UX."
"GPT511","GPt 511.md","413","/products/soft-seating/cocoon-pod","PCOCOON-03","Medium","Content/copy","CTA stack is dense; â€œRequest quoteâ€ and â€œBook consultationâ€ both go to `/contact`.","Redundant actions create confusion.","Merge into one contact CTA with a selector (â€œQuoteâ€ vs â€œConsultationâ€) on the contact form."
"GPT511","GPt 511.md","414","/products/soft-seating/cocoon-pod","PCOCOON-04","Medium","Trust/credibility","Hard-coded â€œMade in Indiaâ€ badge appears for all products.","Risk of inaccurate claim for some lines.","Drive origin badge from metadata (manufactured/imported/assembled)."
"GPT511","GPt 511.md","415","/products/soft-seating/cocoon-pod","PCOCOON-05","Low","Accessibility/contrast","Small uppercase labels use light neutrals.","Low readability.","Increase contrast and reduce letter spacing for small labels on mobile."
"GPT511","GPt 511.md","421","/products/soft-seating/solace-pod","PSOLACE-01","High","Content/copy","Seed data description frames it as a privacy pod, but detailed overview text references â€œSolace Loungeâ€ wording.","Conflicting messaging reduces confidence.","Normalize product copy fields: one authoritative overview + secondary marketing description; add QA for mismatches."
"GPT511","GPt 511.md","422","/products/soft-seating/solace-pod","PSOLACE-02","Medium","CTA clarity","Four CTAs in sequence (quote cart, compare, request quote, consultation).","Choice overload on mobile.","Reduce to 1 primary + 1 secondary; move the rest to a kebab â€œMore actionsâ€ menu."
"GPT511","GPt 511.md","423","/products/soft-seating/solace-pod","PSOLACE-03","Medium","Decision support","No top-of-page review summary; reviews appear below.","Users donâ€™t get quick social proof.","Add a rating snippet near the title with jump link to Reviews."
"GPT511","GPt 511.md","424","/products/soft-seating/solace-pod","PSOLACE-04","Medium","Mobile responsiveness","Long spec tables on mobile without collapsible sections.","Scrolling fatigue.","Convert specs into accordions on mobile (Dimensions, Materials, Features)."
"GPT511","GPt 511.md","425","/products/soft-seating/solace-pod","PSOLACE-05","Low","Interaction UX","Copy link lacks confirmation feedback.","Unclear success.","Add toast + aria-live confirmation."
"GPT511","GPt 511.md","431","/products/education/accent-study","PACCENT-01","Medium","Decision support","Product page doesnâ€™t offer a spec sheet/document CTA.","Institutions often require documentation to proceed.","Add â€œRequest spec sheetâ€ CTA with prefilled request referencing SKU."
"GPT511","GPt 511.md","432","/products/education/accent-study","PACCENT-02","Medium","Content/copy","Overview can be populated from AI alt text/description fallbacks when curated copy is missing.","Awkward/incorrect copy risk.","Require curated overview for education SKUs; separate alt text from marketing copy."
"GPT511","GPt 511.md","433","/products/education/accent-study","PACCENT-03","Medium","Merchandising/discovery","Quote cart add exists but no â€œView cartâ€ path.","Conversion leakage.","Show post-add inline link â€œView quote cartâ€ and add persistent cart entry in header/dock."
"GPT511","GPt 511.md","434","/products/education/accent-study","PACCENT-04","Low","Accessibility/contrast","Small badges/labels rely on light neutrals.","Contrast risk.","Increase label contrast and size on mobile."
"GPT511","GPt 511.md","435","/products/education/accent-study","PACCENT-05","Medium","Mobile responsiveness","No sticky CTA for long content.","Users lose the action.","Add mobile sticky CTA (Request quote / Add to quote)."
"GPT511","GPt 511.md","441","/products/education/academia","PACAD-01","High","Content/copy","Product features include generic tags like â€œManufacturingâ€ and â€œSustainabilityâ€ in detailed info.","Users see non-benefit â€œfeatures,â€ reducing credibility.","Clean/normalize feature lists in data; block non-user-facing taxonomy terms from rendering (case-insensitive)."
"GPT511","GPt 511.md","442","/products/education/academia","PACAD-02","Medium","Decision support","No docs CTA for institutional procurement.","Slows purchase process.","Add downloadable docs links (warranty, materials, dimensions) or a â€œRequest documentsâ€ CTA prefilled with SKU."
"GPT511","GPt 511.md","443","/products/education/academia","PACAD-03","Medium","Trust/credibility","Warranty/certification copy can become generic when metadata is incomplete.","Procurement confidence drops.","Enforce metadata completeness (warrantyYears, certifications) for education."
"GPT511","GPt 511.md","444","/products/education/academia","PACAD-04","Medium","IA/navigation","Education products should surface related items (desk + chair + storage bundles).","Missed upsell/cross-sell.","Add â€œComplete the classroomâ€ module with 3 related SKUs and a bundle quote CTA."
"GPT511","GPt 511.md","445","/products/education/academia","PACAD-05","Low","Interaction UX","Copy link lacks confirmation feedback.","Users unsure.","Add toast + aria-live announcement."
"GPT511","GPt 511.md","451","/solutions/seating","SOLSEAT-01","High","Content/copy","Page is a minimal centered H1 + one sentence (no CTAs, no modules).","Thin content and weak conversion.","Replace with a full solution template: hero, problems solved, recommended categories, proof, CTA to contact."
"GPT511","GPt 511.md","452","/solutions/seating","SOLSEAT-02","Medium","CTA clarity","No link to `/products/seating` or `/contact`.","Users canâ€™t proceed.","Add CTA row: â€œBrowse seatingâ€ + â€œRequest seating quote.â€"
"GPT511","GPt 511.md","453","/solutions/seating","SOLSEAT-03","Medium","IA/navigation","No cross-links to planning/configurator.","Users miss the right funnel.","Add â€œNeed layout help?â€ block linking to `/planning` and `/configurator`."
"GPT511","GPt 511.md","454","/solutions/seating","SOLSEAT-04","Low","Visual hierarchy","No imagery/proof modules.","Looks unfinished vs rest of site.","Add one real installation image and a short proof strip."
"GPT511","GPt 511.md","455","/solutions/seating","SOLSEAT-05","Low","Mobile responsiveness","Minimal page creates an abrupt experience compared to other routes.","Perceived inconsistency.","Use consistent section spacing and footer CTA."
"GPT511","GPt 511.md","461","/solutions/workstations","SOLWORK-01","High","Content/copy","Same thin template as other solution categories (H1 + one line).","Weak credibility for a high-value category.","Build a workstation solution page with layouts, densities, and proof links."
"GPT511","GPt 511.md","462","/solutions/workstations","SOLWORK-02","Medium","CTA clarity","No direct CTA to `/configurator` despite high relevance.","Missed conversions.","Add primary CTA â€œOpen configuratorâ€ and secondary â€œBrowse workstations.â€"
"GPT511","GPt 511.md","463","/solutions/workstations","SOLWORK-03","Medium","Decision support","No seat density guidance or module examples.","Buyers canâ€™t self-qualify.","Add examples (60-seat ops floor, 10-seat cabin) with estimated footprints."
"GPT511","GPt 511.md","464","/solutions/workstations","SOLWORK-04","Low","Trust/credibility","No case-study links.","Proof missing.","Add â€œSee installationsâ€ links to `/portfolio` anchors."
"GPT511","GPt 511.md","465","/solutions/workstations","SOLWORK-05","Low","Mobile responsiveness","Text-only experience feels abrupt.","Inconsistent UX.","Match global section patterns (proof strip + CTA)."
"GPT511","GPt 511.md","471","/workstations/configurator","WCONF-01","Medium","IA/navigation","Route is a redirect to `/configurator?type=workstations` with no context page.","Bookmarks/SEO intent can feel abrupt.","Keep redirect but add intent-preserving params and a short contextual landing when accessed directly."
"GPT511","GPt 511.md","472","/workstations/configurator","WCONF-02","Medium","IA/navigation","No equivalent â€œstorages configuratorâ€ entry route.","Inconsistent discoverability.","Add `/storages/configurator` redirect (or remove this alias route)."
"GPT511","GPt 511.md","473","/workstations/configurator","WCONF-03","Low","Content/copy","The `type` param isnâ€™t user-visible as a â€œmode.â€","Confusing for users who land via link.","Add a visible mode toggle at top of configurator with â€œWorkstations / Storages.â€"
"GPT511","GPt 511.md","474","/workstations/configurator","WCONF-04","Low","Performance perception","Redirect should be instant and avoid a flash of blank content.","Perceived slowness.","Use server redirect only (already) and ensure no client-side rerender before redirect."
"GPT511","GPt 511.md","475","/workstations/configurator","WCONF-05","Low","Accessibility/contrast","Ensure redirect preserves focus context for keyboard users.","Potential disorientation.","Add heading focus on destination page."
"GPTMD","GPT.MD","75","/","HOME-1","High","Trust/credibility","TrustStrip pulls live stats without offline fallback message; `getBusinessStats()` used without error UI in `app/page.tsx`.","Empty stats area on failure lowers trust.","Add skeleton + â€œdata unavailableâ€ fallback with timestamp; cache last good values."
"GPTMD","GPT.MD","76","/","HOME-2","Medium","Accessibility/contrast","Hero overlay uses white text over gradient (`HomepageHero`); no dynamic contrast check for uploaded images.","Risk of <4.5:1 contrast on bright photos, esp. mobile.","Add scrim intensity auto-adjust or text-shadow; run `next/image` blurDataURL; include `aria-live` for CTA focus."
"GPTMD","GPT.MD","77","/","HOME-3","Medium","CTA clarity","Primary CTA â€œGet Project Quoteâ€ and secondary â€œBrowse Productsâ€ both uppercase; no microcopy on response time.","Users lack expectation of follow-up; potential drop-off.","Add subtext â€œResponse within 1 business dayâ€ and phone/WA alternative next to CTA."
"GPTMD","GPT.MD","78","/","HOME-4","Medium","Interaction UX","Hero aside checklist static; not clickable to deep sections.","Missed affordance to guide to planner/service pages.","Convert each bullet to anchor links to planning/service sections."
"GPTMD","GPT.MD","79","/","HOME-5","Low","Mobile responsiveness","Grid `lg:grid-cols-[1.05fr_0.95fr]` collapses to single column; CTA buttons remain inline causing wrap issues on narrow screens.","Crowded tap targets on phones.","Stack CTAs vertically on <480px and increase min-tap height to 48px."
"GPTMD","GPT.MD","85","/about","ABOUT-1","Medium","IA/navigation","No breadcrumb or sticky sub-nav despite long-scroll sections.","Harder to jump between â€œWho we areâ€ and â€œClient confidence.â€","Add sub-nav with anchors; show active state on scroll."
"GPTMD","GPT.MD","86","/about","ABOUT-2","Medium","Trust/credibility","Stats cards reuse global stats without context date; from `TRUSTED_BY_STATS`.","Numbers feel generic; lacks verification date.","Display as-of date label under stats."
"GPTMD","GPT.MD","87","/about","ABOUT-3","Low","Visual hierarchy","Image left, copy right on desktop; on mobile image precedes headline, pushing value prop below fold.","Users may bounce before reading positioning.","Move heading above image on mobile via `order` utility."
"GPTMD","GPT.MD","88","/about","ABOUT-4","Low","Accessibility/contrast","Label text uses `text-neutral-700` on white; contrast ~4.2:1 borderline.","Potential WCAG AA failure.","Darken to `text-neutral-800` and increase weight."
"GPTMD","GPT.MD","89","/about","ABOUT-5","Medium","CTA clarity","â€œView all clientsâ€ secondary link; no primary action to contact.","Missed lead capture on interest.","Add â€œBook intro callâ€ CTA adjacent."
"GPTMD","GPT.MD","95","/projects","PROJ-1","High","Trust/credibility","KPI integrity depends on `getBusinessStats`; no error UI beyond monitor component.","Failed fetch silently removes metrics.","Add fallback copy + retry button."
"GPTMD","GPT.MD","96","/projects","PROJ-2","Medium","IA/navigation","Long client list without filters or sector tags; 60+ items.","Hard to scan relevance by sector.","Add sector filter chips and search box."
"GPTMD","GPT.MD","97","/projects","PROJ-3","Medium","Decision support","No case studies or outcomes; only logo badges.","Low proof for enterprise buyers.","Add 3 mini-case cards with problem/solution/outcome."
"GPTMD","GPT.MD","98","/projects","PROJ-4","Low","Mobile responsiveness","Grid `sm:grid-cols-3` for KPIs may squish digits; no min-width.","Readability drops on small phones.","Set min-width and center alignment; increase font size for xs."
"GPTMD","GPT.MD","99","/projects","PROJ-5","Medium","CTA clarity","Page lacks direct CTA except generic nav.","Lost conversion path.","Add â€œRequest project walkthroughâ€ CTA after stats."
"GPTMD","GPT.MD","105","/products","PROD-1","High","Product discovery","CategoryGrid depends on Supabase via `getCatalog`; fallback is generic hero but no user message.","Empty grid if data fails.","Add â€œcatalog offlineâ€ fallback with contact CTA and cached static list."
"GPTMD","GPT.MD","106","/products","PROD-2","Medium","IA/navigation","No breadcrumbs; hero lacks category index link.","Users can't orient to where they are in catalog.","Add breadcrumb home > products."
"GPTMD","GPT.MD","107","/products","PROD-3","Medium","CTA consistency","Pillars section has no CTA; later section has three CTAs with differing styles (`btn-primary`, `btn-outline`).","Visual noise; choice overload.","Define single primary + single secondary style site-wide."
"GPTMD","GPT.MD","108","/products","PROD-4","Medium","Accessibility/contrast","Feature bullets prefixed with â€œ-â€ using plain text; list semantics absent.","Screen readers miss list structure.","Use `<ul><li>` and aria-label for section."
"GPTMD","GPT.MD","109","/products","PROD-5","Low","Mobile","Grid gap `gap-px` yields 1px gutters; cards edge-to-edge cause accidental taps.","Reduces touch accuracy.","Add 8px gap on mobile."
"GPTMD","GPT.MD","115","/configurator","CFG-1","High","Interaction UX","Form submits only to local state; no confirmation email or PDF export (`Simple2DConfigurator` has no submit).","Users cannot keep record; perception of unfinished tool.","Add summary export (PDF/email) and success state."
"GPTMD","GPT.MD","116","/configurator","CFG-2","Medium","Mobile","Multi-column controls (power/data per seat) in single row; no stacking rules.","Difficult tap targets on phones.","Stack controls at <768px; raise input heights to 48px."
"GPTMD","GPT.MD","117","/configurator","CFG-3","Medium","Decision support","No live price total despite per-seat pricing constants.","Users canâ€™t gauge budget impact.","Compute total estimate and show running summary."
"GPTMD","GPT.MD","118","/configurator","CFG-4","Medium","CTA clarity","No â€œSend to salesâ€ CTA; only configurator form.","Lead drop-off.","Add primary CTA to push config into quote cart or email."
"GPTMD","GPT.MD","119","/configurator","CFG-5","Low","Accessibility","Inputs lack `aria-describedby` for helper hints; no error messaging on invalid numbers.","Screen readers miss context.","Add helper text IDs and inline validation."
"GPTMD","GPT.MD","125","/compare","CMP-1","High","Product decision support","Compare relies on query `items` list; no UI to add products on-page.","Non-technical users canâ€™t use feature.","Add compare drawer with â€œaddâ€ buttons on PDP/list to build list."
"GPTMD","GPT.MD","126","/compare","CMP-2","Medium","Data dependency","Pulls product via Supabase; empty state only says â€œNo products selectedâ€.","If data fails, table blank with no guidance.","Add â€œdata unavailableâ€ fallback and contact CTA."
"GPTMD","GPT.MD","127","/compare","CMP-3","Medium","Mobile","Table min-width 760px; overflows without sticky columns.","Horizontal scroll not obvious; poor readability.","Add sticky first column + scroll hint + responsive cards."
"GPTMD","GPT.MD","128","/compare","CMP-4","Low","Accessibility","Table headings lack `scope=""col""`; rows lack `scope=""row""`.","Screen reader navigation degraded.","Add proper table scopes."
"GPTMD","GPT.MD","129","/compare","CMP-5","Medium","CTA clarity","Top CTAs generic â€œOpen 2D configurator / Request quoteâ€; no tie to compared items.","Context lost, lower intent.","Pass selected SKUs into quote CTA and prefill form."
"GPTMD","GPT.MD","135","/contact","CON-1","High","Trust/credibility","Form posts to `/api/customer-queries` without CAPTCHA/rate limit.","Spam risk; form could fail silently.","Add hCaptcha/Turnstile and success/failure toast."
"GPTMD","GPT.MD","136","/contact","CON-2","Medium","Interaction UX","Error text only â€œUnable to submit right now.â€; no retry guidance.","Users abandon when API down.","Add inline retry + alternative channels (phone/WA)."
"GPTMD","GPT.MD","137","/contact","CON-3","Low","Accessibility","Phone links lack `aria-label` with country code context.","Screen readers may misread.","Add descriptive aria-labels."
"GPTMD","GPT.MD","138","/contact","CON-4","Medium","Mobile","Two-column inputs persist on small screens (`md:grid-cols-2`); fine, but on <768 becomes single; ok. Maybe not an issue? Wait. Actually grid only at md so mobile single. We need different issue: placeholder only; no required indicators on optional fields, except label not showing required. That is a copy issue. Let's craft.","Users unsure which fields mandatory; abandonment.","Add â€œ(Optional)â€ to non-required; add * to required fields."
"GPTMD","GPT.MD","139","/contact","CON-5","Medium","CTA clarity","Primary button text â€œSend Messageâ€ generic; no SLA.","Lower urgency.","Change to â€œSend & get response in 1 business dayâ€."
"GPTMD","GPT.MD","149","/planning","PLAN-1","Medium","CTA clarity","Only two CTAs; no form or scheduler link.","Friction to book meeting.","Add calendar link (Calendly) & inline mini-form."
"GPTMD","GPT.MD","150","/planning","PLAN-2","Medium","Decision support","Steps lack duration/outputs; purely narrative.","Buyers canâ€™t gauge timeline.","Add timeline chips (days) and sample deliverables PDF."
"GPTMD","GPT.MD","151","/planning","PLAN-3","Low","Mobile","Cards equal height; fine. Issue: hero background `/hero/titan-hero.webp` with text; contrast risk.","Legibility on bright images.","Strengthen overlay on <768px."
"GPTMD","GPT.MD","152","/planning","PLAN-4","Low","Accessibility","Lists use plain `<li>` without `aria-labelledby` anchors.","Screen reader context weak.","Add section heading IDs referenced by `aria-describedby`."
"GPTMD","GPT.MD","153","/planning","PLAN-5","Medium","Trust","No client examples tied to planning output.","Reduces credibility.","Insert 2 mini case snapshots with metrics."
"GPTMD","GPT.MD","159","/service","SERV-1","High","Interaction UX","No service ticket form; CTA sends to generic contact.","Poor triage; delays.","Add dedicated service form with ticket ID auto-response."
"GPTMD","GPT.MD","160","/service","SERV-2","Medium","Trust","Warranty terms not specified; only â€œstructured supportâ€.","Unclear commitment.","Add warranty table (years by category)."
"GPTMD","GPT.MD","161","/service","SERV-3","Medium","Mobile","Grid of 3 cards stays 1 col on mobile fine. Minor: CTA buttons same weight; choose primary.","Cognitive load.","Differentiate primary vs secondary."
"GPTMD","GPT.MD","162","/service","SERV-4","Low","Accessibility","Support channel links open blank without `rel=""noopener""`.","Security best practice.","Add rel attributes."
"GPTMD","GPT.MD","163","/service","SERV-5","Medium","Decision support","No SLA or response time for support.","User expectations mis-set.","Add SLA badges (e.g., first response <24h)."
"GPTMD","GPT.MD","169","/solutions","SOL-1","Medium","IA/navigation","Page overlaps with /planning; no clear distinction.","Users confused which service to pick.","Add comparison strip â€œPlanning vs Solutions vs Serviceâ€."
"GPTMD","GPT.MD","170","/solutions","SOL-2","Medium","Decision support","No downloadable approach deck.","Buyers need artifact for stakeholders.","Add PDF/slide link."
"GPTMD","GPT.MD","171","/solutions","SOL-3","Low","Accessibility","Stats cards only numbers; no context for screen readers.","Meaning lost.","Add `aria-label` like â€œ14+ years in projectsâ€."
"GPTMD","GPT.MD","172","/solutions","SOL-4","Medium","CTA clarity","Single CTA leads to contact; no discovery call option.","Missed higher-intent conversion.","Add â€œBook 20-min discoveryâ€ CTA."
"GPTMD","GPT.MD","173","/solutions","SOL-5","Low","Visual hierarchy","Repeated hero imagery from other pages; brand fatigue.","Reduced distinctiveness.","Use unique photography or illustrations."
"GPTMD","GPT.MD","179","/showrooms","SHOW-1","Medium","IA/navigation","â€œFeaturedCarouselâ€ + â€œTeaserâ€ + â€œClientQuoteâ€ stack; no anchor nav.","Long scroll; orientation lost.","Add sticky section index on desktop."
"GPTMD","GPT.MD","180","/showrooms","SHOW-2","Medium","Trust","Stats show as-of but not source; uses businessStats.","Could be questioned.","Add â€œverified quarterlyâ€ note and link to method."
"GPTMD","GPT.MD","181","/showrooms","SHOW-3","Low","Mobile","KPI grid 3 columns at sm; fine. Carousel might overflow on small screens (not inspected).","Possible swipe only; no dots.","Add dots + swipe hint."
"GPTMD","GPT.MD","182","/showrooms","SHOW-4","Medium","CTA clarity","Only links to trusted-by/portfolio; no showroom visit booking.","Missed high-intent visit requests.","Add â€œBook showroom visitâ€ CTA with form."
"GPTMD","GPT.MD","183","/showrooms","SHOW-5","Low","Accessibility","Client badges not focusable individually (div).","Keyboard users canâ€™t explore.","Render as `<a>` or add tabindex + aria-label."
"GPTMD","GPT.MD","189","/downloads","DL-1","High","Interaction UX","Resource cards link to contact, not direct files; no form to request pack.","Friction; users bounce.","Add gated download form with instant file + email."
"GPTMD","GPT.MD","190","/downloads","DL-2","Medium","Trust","No file sizes/version numbers.","Users unsure currency of docs.","Display last-updated date and size per doc."
"GPTMD","GPT.MD","191","/downloads","DL-3","Low","Accessibility","Cards lack `aria-describedby` tying summary.","Screen reader context weak.","Add IDs on headings and link `aria-describedby`."
"GPTMD","GPT.MD","192","/downloads","DL-4","Medium","Mobile","Grid 3 cols at md; OK. The CTA bar uses same style; but no sticky â€œDownload allâ€.","Hard to act after scroll.","Add floating â€œRequest packâ€ button on mobile."
"GPTMD","GPT.MD","193","/downloads","DL-5","Medium","CTA consistency","Buttons mix link-arrow and btn-primary.","Style inconsistency reduces clarity.","Standardize to primary/secondary scheme."
"GPTMD","GPT.MD","199","/portfolio","PORT-1","High","Performance","`fs.readdir` loads all images (dozens) server-side; no pagination/lazy segmentation.","Slow TTFB and heavy payload.","Paginate by client and lazy-load images."
"GPTMD","GPT.MD","200","/portfolio","PORT-2","Medium","Accessibility","Alt text auto-generated `${client} portfolio photo N`; not descriptive.","Screen readers get low-value info.","Add location/use-case in alt."
"GPTMD","GPT.MD","201","/portfolio","PORT-3","Medium","Mobile","3-up grid images inside; potential cumulative layout shift without height for smaller images.","Visual jitter; bounce.","Add fixed aspect ratios and `sizes` props."
"GPTMD","GPT.MD","202","/portfolio","PORT-4","Medium","Decision support","No project metadata (scope, seats, timeline).","Buyers canâ€™t benchmark capability.","Add small fact list per client."
"GPTMD","GPT.MD","203","/portfolio","PORT-5","Low","CTA clarity","No CTA per project; only global contact teaser.","Missed targeted leads.","Add â€œDiscuss similar projectâ€ CTA per card."
"GPTMD","GPT.MD","209","/gallery","GAL-1","Medium","Performance","Large images served at 1200px with no `sizes` tuned for mobile.","Slow load on mobile.","Add `sizes` prop for 100vw and use 800px variants."
"GPTMD","GPT.MD","210","/gallery","GAL-2","Medium","IA/navigation","No filters by category/location.","Users canâ€™t find relevant images.","Add filter chips and search."
"GPTMD","GPT.MD","211","/gallery","GAL-3","Low","Accessibility","Overlaid text lacks semantic heading levels; all <p>.","Screen readers miss hierarchy.","Use h3/h4 with aria."
"GPTMD","GPT.MD","212","/gallery","GAL-4","Medium","Mobile","Masonry columns=2; on <640 still 2? Actually `columns={2}` constant, causing tiny images on phones.","Very small thumbnails; harder to view.","Switch to 1 column on <640."
"GPTMD","GPT.MD","213","/gallery","GAL-5","Low","CTA clarity","No way to enlarge or download images.","Engagement limited.","Add lightbox with next/prev + download."
"GPTMD","GPT.MD","219","/news","NEWS-1","Medium","Trust","Items are static copy with month only; no source links.","Perceived as marketing, not news.","Link to blog/press pages or PDF proof."
"GPTMD","GPT.MD","220","/news","NEWS-2","Low","Accessibility","Card titles use h3? in code yes, good. But dates as plain text; fine. Another issue: no RSS/subscribe.","Reduced reach.","Add â€œSubscribeâ€ CTA."
"GPTMD","GPT.MD","221","/news","NEWS-3","Low","Mobile","Grid 3 cols at md; ok. But hero same as other pages.","Brand repetition.","Use unique hero."
"GPTMD","GPT.MD","222","/news","NEWS-4","Medium","CTA clarity","Only link to /social; no press contact.","Missed PR leads.","Add â€œPress contactâ€ mailto."
"GPTMD","GPT.MD","223","/news","NEWS-5","Medium","Content/copy","Headlines generic; summaries vague.","Lower credibility.","Add metrics or specifics (e.g., capacity numbers)."
"GPTMD","GPT.MD","229","/trusted-by","TB-1","High","Trust","Client badges lack verification (logos, years).","Doubtful authenticity.","Add client logos + project year tags."
"GPTMD","GPT.MD","230","/trusted-by","TB-2","Medium","IA","No filter by sector.","Hard to find relevant references.","Add sector filter chips."
"GPTMD","GPT.MD","231","/trusted-by","TB-3","Low","Mobile","Grid 5 cols at xl; ok. But text-wrapping may overflow.","Minor.","Add `text-sm` with ellipsis."
"GPTMD","GPT.MD","232","/trusted-by","TB-4","Medium","CTA clarity","Only ContactTeaser at bottom; no â€œRequest referencesâ€.","Missed sales assist.","Add CTA to request reference calls."
"GPTMD","GPT.MD","233","/trusted-by","TB-5","Low","Accessibility","Cards are divs; not focusable.","Keyboard nav blocked.","Make list items `<li>` with tabindex."
"GPTMD","GPT.MD","239","/sustainability","SUS-1","Medium","Trust","Claims (â€œ98% materials recycleâ€) without citation.","Could be seen as greenwashing.","Add certification links/footnotes."
"GPTMD","GPT.MD","240","/sustainability","SUS-2","Low","Accessibility","Icons purely decorative but not `aria-hidden`.","Screen reader clutter.","Add `aria-hidden` or sr-only labels."
"GPTMD","GPT.MD","241","/sustainability","SUS-3","Medium","Decision support","No product-level eco scores displayed or linked.","Users canâ€™t act on sustainability promise.","Add table of products with Eco-score."
"GPTMD","GPT.MD","242","/sustainability","SUS-4","Low","Mobile","Large 3-col grid; ok. But long paragraphs unbroken.","Readability.","Increase line-height and add bulleting."
"GPTMD","GPT.MD","243","/sustainability","SUS-5","Medium","CTA clarity","Only newsletter/contact; no â€œDownload ESG sheetâ€.","Weak follow-up.","Add ESG PDF download CTA."
"GPTMD","GPT.MD","249","/career","CAR-1","High","Interaction UX","JobCard lacks application form/CTA; only mailto in footer.","Applicants drop.","Add â€œApply nowâ€ button per role with form."
"GPTMD","GPT.MD","250","/career","CAR-2","Medium","Mobile","Grid 3 cols at md; ok. But hero overlay heavy text.","Minor.","Add secondary CTA â€œView rolesâ€ near fold."
"GPTMD","GPT.MD","251","/career","CAR-3","Medium","Trust","No hiring timeline or process steps.","Unclear expectations.","Add 3-step hiring process timeline."
